ID,Cell_type,Brain_region,Trough_Peak_latency,ACG_tau_decay,ACG_tau_rise,Peak_asymmetry,Burst_index,RF_violation
37,Narrow Interneuron,LGd,0.425,8.56412334810294,3.93724011641825,0.866121028582229,0,0
38,Narrow Interneuron,ZI,0.233333333333333,4.24946629066425,3.6821488115285,0.90754715574129,1.38627450980392,2.55148532895936
39,Narrow Interneuron,LGd,0.266666666666667,117.104636905535,3.10633460095637,0.0265397562213119,7.08436603381967,2.31919438510833
40,Narrow Interneuron,LGd,0.208333333333333,48.6836969386332,15.2119386644996,0.119085731266455,3.31001910645595,0.5971373596878
41,Pyramidal Cell,LGd,0.441666666666667,1.65333948221636,1.60379511587054,0.646519137311307,5.33549582947173,4.78189876370422
42,Narrow Interneuron,LGd,0.416666666666667,9.36710291254207,4.12730238441456,0.800781309778792,3.25806451612903,4.92610837438424
43,Wide Interneuron,VISam,0.5,6.19439496032144,4.59025061794161,1.05237768409526,14.9016393442623,0
44,Narrow Interneuron,LGd,0.416666666666667,160.657232895831,0.499476553911553,1.00495683675823,7.27692829005887,6.73758865248227
45,Narrow Interneuron,LGd,0.391666666666667,5.04233030430333,4.25465453433844,0.960801547042989,2.38207547169811,0.846740050804403
46,Narrow Interneuron,LGd,0.375,58.9084749808518,0.991196288388297,0.9921155580526,16.8717480602465,6.45413651476628
47,Pyramidal Cell,LGd,0.441666666666667,1.0229944058095,1.01763047671246,0.951557418064185,5.00294261893085,3.34090605372177
48,Narrow Interneuron,LGd,0.358333333333333,254.263541160313,0.904636829087467,0.23383266746083,5.54820466913907,17.607875789783
49,Wide Interneuron,VISam,0.708333333333333,5.7023259130593,3.08393565024905,-0.669015014137623,0.664871334530221,0
50,Wide Interneuron,VISam,0.633333333333333,6.14026688627524,4.12662917214623,1.09570142636453,1.44162146731373,2.25198530283276
51,Narrow Interneuron,LGd,0.408333333333333,23.7707810418507,7.38294594387641,0.729911964114773,0,0
52,Pyramidal Cell,LGd,0.441666666666667,4.9756881940599,0.195554030216063,0.814005156615261,33.6666666666667,3.37837837837838
53,Wide Interneuron,VISam,0.666666666666667,13.499001826011,15.2174371059808,0.873161384821766,0.321656050955414,1.36612021857923
54,Narrow Interneuron,LGd,0.391666666666667,20.4036548211551,7.35344935981415,0.965743242162933,0,0
55,Wide Interneuron,CA1,0.941666666666667,3.65185046013685,3.41255896357742,0.226690957212607,3.75619834710744,3.03582270795386
56,Wide Interneuron,LGd,0.541666666666667,44.099779413256,2.0467729302479,0.638150874743858,0,0
57,Narrow Interneuron,LGd,0.416666666666667,44.3695004912232,0.967184328669011,0.941924062096495,12.6884422110553,3.26590813316477
58,Narrow Interneuron,LGd,0.366666666666667,31.3350406597517,12.0398358016148,1.01667863039596,3.81612090680101,0.328947368421053
59,Wide Interneuron,LGd,0.475,4.59548235686306,4.21789654086051,1.02261709833688,2.66666666666667,1.05042016806723
60,Wide Interneuron,VISam,0.641666666666667,6.84572323476073,5.42302989728296,1.08033421665085,1.3095623987034,3.72362432767894
61,Narrow Interneuron,ZI,0.4,4.96162115334577,4.94503532317908,0.860449266389963,3.60714285714286,0
62,Narrow Interneuron,LGd,0.366666666666667,249.845205770266,1.61574549685986,0.979194358971585,5.17675346000469,9.87284966342558
63,Wide Interneuron,CA1,0.758333333333333,5.69767919242525,5.12382227620471,0.382530537716886,2.45344129554656,1.99840127897682
64,Wide Interneuron,LGd,0.441666666666667,116.705240830327,5.27749109289475,0.983232792732666,3.00029266865031,3.3691849164183
65,Wide Interneuron,LGd,0.433333333333333,86.4123032553589,28.3679421251888,0.868609969151769,4.65437788018433,1.30378096479791
66,Wide Interneuron,LGd,0.541666666666667,14.8592204561543,4.67653251006845,0.635084724540781,7.48148148148148,0
67,Wide Interneuron,CA1,0.941666666666667,6.02095338554854,4.45278765106163,0.263114306431324,2.61715328467153,8.44482398709555
68,Wide Interneuron,CA1,0.658333333333333,42.7393887704385,0.645710319092792,0.943071250684572,82.2962962962963,17.1184022824536
69,Pyramidal Cell,CA1,0.775,5.30670901218676,0.481589241044939,-0.0812617594232612,193.293103448276,1.65289256198347
70,Narrow Interneuron,ZI,0.258333333333333,7.12871136216329,7.13024269630287,1.00424013796711,1.21276595744681,1.8100639555931
71,Narrow Interneuron,LGd,0.425,183.316491477931,1.13000329500094,0.937597577910812,5.79769417475728,4.20626265773485
72,Wide Interneuron,VISam,0.833333333333333,7.05252496455553,4.57202247165413,0.851601097338039,0.175173439048563,0.511705257771524
73,Wide Interneuron,VISam,0.875,4.75231242758337,4.75296004693018,0.982480942352324,0.81484469544171,0.873531980976415
74,Narrow Interneuron,DG,0.358333333333333,7.44810649756006,6.61299419045516,0.315254110969814,0,0.0859106529209622
75,Narrow Interneuron,LGd,0.35,10.3009042492969,4.37140200046691,1.00151027966017,4.40105467665834,1.67708492148193
