ID,Cell_type,Brain_region,Trough_Peak_latency,ACG_tau_decay,ACG_tau_rise,Peak_asymmetry,Burst_index
187,Wide Interneuron,ORB,0.683333333333333,37.5872050387213,1.37253608435356,0.369824264524805,7.30955239238552
188,Wide Interneuron,MOs,0.533333333333333,7.59676543861957,7.63563113540122,1.10494287993103,0.674832962138085
189,Narrow Interneuron,ORB,0.266666666666667,54.6878954110779,1.42706739880599,0.987629599683521,4.78756677999029
190,Wide Interneuron,ORB,0.691666666666667,13.2713297657456,14.6313983141614,-0.148258467389246,0.782804614275414
191,Narrow Interneuron,ORB,0.4,27.1750820838715,4.77688184066409,1.05744053838207,11.8823529411765
192,Wide Interneuron,MOs,0.775,5.88400295235625,6.46940627419527,0.660944477376899,0.419667590027701
193,Wide Interneuron,MOs,0.716666666666667,3.97604506083812,3.98121465246677,0.444686217038732,1.30112721417069
194,Wide Interneuron,MOs,0.6,4.90760580608488,4.90663231952009,-0.400238482343119,0.770012706480305
195,Wide Interneuron,ORB,0.625,15.9614673232136,6.74929843337045,0.618882728463313,0.617737003058104
196,Wide Interneuron,ORB,0.675,454.928457973675,1.4352640358743,0.96338707690311,11.2791878172589
197,Wide Interneuron,ORB,0.775,8.34842071082849,4.83981588659658,1.02862777274106,0.074759437453738
198,Pyramidal Cell,ORB,0.533333333333333,1.57369207762953,1.42126244233534,0.96861625811868,7.50064020486556
199,Wide Interneuron,ORB,0.841666666666667,202.378076494313,1.28599490521305,0.987096946730297,13.1739130434783
200,Wide Interneuron,ORB,0.733333333333333,13.3132039909279,11.696840763642,0.969818077133754,2.91546391752577
201,Wide Interneuron,ORB,0.666666666666667,11.5417122603668,7.36184599173903,0.416376466081305,0
202,Wide Interneuron,ORB,0.6,46.4971421579404,3.04573577615187,0.962194069010217,7.18690702087286
203,Wide Interneuron,MOs,0.766666666666667,5.98032710022384,5.9434974688379,-0.108992428822838,0.556985294117647
204,Wide Interneuron,MOs,0.725,55.0325950025554,11.5823014773286,0.452244390617454,1.398891966759
205,Wide Interneuron,ORB,0.691666666666667,5.72822252680644,4.74511281513352,0.864852116413629,2.99205202312139
206,Narrow Interneuron,MOs,0.416666666666667,1.47933132889754,0.21070326787675,0.851393496998855,0
207,Wide Interneuron,MOs,0.708333333333333,37.69550446709,38.2178505684751,0.56943532734422,0
208,Pyramidal Cell,ORB,0.658333333333333,1.86198012094543,1.78692437128964,0.169045100351542,9.56842105263158
209,Wide Interneuron,ORB,0.683333333333333,19.5483767717808,7.98229800870807,0.0460026918627777,1.20571198307561
210,Wide Interneuron,MOs,0.841666666666667,31.5258605070624,38.2409172451606,0.211583927130154,0.445112179487179
211,Wide Interneuron,ORB,0.608333333333333,15.3195222353793,4.76434695523164,0.822240562481992,3.60714285714286
212,Pyramidal Cell,MOs,0.683333333333333,8.1290740682122,0.202753249917864,0.704845556968359,Inf
213,Wide Interneuron,MOs,0.675,5.36765600301403,3.70701528110882,-0.0653990406650618,0
214,Wide Interneuron,MOs,0.691666666666667,1.00000002123224,3.33662932667253,1.03848056110686,1.14973730297723
215,Wide Interneuron,MOs,0.758333333333333,21.0336934451999,5.99374061460928,0.998303168668886,2.63478260869565
216,Narrow Interneuron,MOs,0.425,88.423906597167,5.19108896333098,0.816364638828916,3.58579881656804
217,Pyramidal Cell,MOs,0.533333333333333,24.5040082280938,0.729929645014123,1.0416279885311,10.5666489644185
